taxon_name	genus_status	max_ma	min_ma
Carcharhinus	extant	3.6	2.58
Carcharodon	extant	3.6	2.58
Galeorhinus	extant	3.6	2.58
Heterodontus	extant	3.6	2.58
Hexanchus	extant	3.6	2.58
Isurus	extant	3.6	2.58
Pristiophorus	extant	3.6	2.58
Squatina	extant	3.6	2.58
Beringraja	extant	0.774	0.129
Alopias	extant	11.63	5.333
Carcharhinus	extant	11.63	5.333
Centrophorus	extant	11.63	5.333
Dalatias	extant	11.63	5.333
Galeorhinus	extant	11.63	5.333
Hemipristis	extant	11.63	5.333
Heterodontus	extant	11.63	5.333
Mustelus	extant	11.63	5.333
Myliobatis	extant	11.63	5.333
Negaprion	extant	11.63	5.333
Pristiophorus	extant	11.63	5.333
Sphyrna	extant	11.63	5.333
Squalus	extant	11.63	5.333
Otodus	extinct	11.63	5.333
Araloselachus	extinct	23.03	11.63
Carcharodon	extant	23.03	11.63
Isurolamna	extinct	23.03	11.63
Isurus	extant	23.03	11.63
Araloselachus	extinct	23.03	11.63
Carcharias	extant	23.03	11.63
Striatolamia	extinct	23.03	11.63
Araloselachus	extinct	23.03	11.63
Carcharias	extant	23.03	11.63
Carcharodon	extant	23.03	11.63
Striatolamia	extinct	23.03	11.63
Carcharias	extant	23.03	11.63
Carcharodon	extant	23.03	11.63
Alopias	extant	23.03	11.63
Carcharias	extant	23.03	11.63
Carcharias	extant	23.03	11.63
Scoliodon	extant	23.03	11.63
Carcharias	extant	23.03	11.63
Lamna	extant	23.03	11.63
Carcharhinus	extant	23.03	11.63
Carcharias	extant	23.03	11.63
Lamna	extant	23.03	11.63
Notorynchus	extant	23.03	11.63
Otodus	extinct	23.03	11.63
Aetobatus	extant	23.03	11.63
Araloselachus	extinct	23.03	11.63
Carcharhinus	extant	23.03	11.63
Carcharias	extant	23.03	11.63
Carcharodon	extant	23.03	11.63
Galeocerdo	extant	23.03	11.63
Hemipristis	extant	23.03	11.63
Isurolamna	extinct	23.03	11.63
Isurus	extant	23.03	11.63
Myliobatis	extant	23.03	11.63
Notorynchus	extant	23.03	11.63
Otodus	extinct	23.03	11.63
Araloselachus	extinct	23.03	11.63
Carcharhinus	extant	23.03	11.63
Notorynchus	extant	23.03	11.63
Mustelus	extant	11.63	5.333
Carcharias	extant	23.03	11.63
Isurus	extant	23.03	11.63
Araloselachus	extinct	23.03	11.63
Isurus	extant	23.03	11.63
Scoliodon	extant	23.03	11.63
Squalus	extant	23.03	11.63
Araloselachus	extinct	23.03	11.63
Carcharodon	extant	23.03	11.63
Myliobatis	extant	23.03	11.63
Araloselachus	extinct	23.03	11.63
Aetobatus	extant	23.03	11.63
Carcharhinus	extant	23.03	11.63
Carcharias	extant	23.03	11.63
Hemipristis	extant	23.03	11.63
Rhinoptera	extant	23.03	11.63
Squalus	extant	23.03	11.63
Scoliodon	extant	23.03	11.63
Carcharhinus	extant	23.03	11.63
Isurus	extant	23.03	11.63
Aetobatus	extant	23.03	11.63
Carcharhinus	extant	23.03	11.63
Carcharias	extant	23.03	11.63
Carcharodon	extant	23.03	11.63
Dasyatis	extant	23.03	11.63
Galeocerdo	extant	23.03	11.63
Hemipristis	extant	23.03	11.63
Isurus	extant	23.03	11.63
Myliobatis	extant	23.03	11.63
Notorynchus	extant	23.03	11.63
Squatina	extant	23.03	11.63
Otodus	extinct	23.03	11.63
Otodus	extinct	11.63	3.6
Carcharodon	extant	3.6	1.8
Carcharhinus	extant	11.63	5.333
Alopias	extant	20.44	13.82
Carcharhinus	extant	20.44	13.82
Carcharias	extant	20.44	13.82
Dasyatis	extant	20.44	13.82
Galeocerdo	extant	20.44	13.82
Hemigaleus	extant	20.44	13.82
Hemipristis	extant	20.44	13.82
Hexanchus	extant	20.44	13.82
Isistius	extant	20.44	13.82
Isogomphodon	extant	20.44	13.82
Isurus	extant	20.44	13.82
Mobula	extant	20.44	13.82
Myliobatis	extant	20.44	13.82
Negaprion	extant	20.44	13.82
Pachyscyllium	extinct	20.44	13.82
Paragaleus	extant	20.44	13.82
Raja	extant	20.44	13.82
Scyliorhinus	extant	20.44	13.82
Sphyrna	extant	20.44	13.82
Taeniurops	extant	20.44	13.82
Carcharhinus	extant	20.44	13.82
Carcharias	extant	20.44	13.82
Dasyatis	extant	20.44	13.82
Hemigaleus	extant	20.44	13.82
Hemipristis	extant	20.44	13.82
Hexanchus	extant	20.44	13.82
Isogomphodon	extant	20.44	13.82
Isurus	extant	20.44	13.82
Negaprion	extant	20.44	13.82
Odontaspis	extant	20.44	13.82
Pachyscyllium	extinct	20.44	13.82
Paragaleus	extant	20.44	13.82
Raja	extant	20.44	13.82
Scoliodon	extant	20.44	13.82
Scyliorhinus	extant	20.44	13.82
Sphyrna	extant	20.44	13.82
Taeniurops	extant	20.44	13.82
Otodus	extinct	20.44	13.82
Alopias	extant	20.44	13.82
Carcharhinus	extant	20.44	13.82
Dasyatis	extant	20.44	13.82
Galeocerdo	extant	20.44	13.82
Hemigaleus	extant	20.44	13.82
Hemipristis	extant	20.44	13.82
Isogomphodon	extant	20.44	13.82
Mobula	extant	20.44	13.82
Myliobatis	extant	20.44	13.82
Negaprion	extant	20.44	13.82
Odontaspis	extant	20.44	13.82
Pachyscyllium	extinct	20.44	13.82
Paragaleus	extant	20.44	13.82
Rhinobatos	extant	20.44	13.82
Rhinoptera	extant	20.44	13.82
Rhynchobatus	extant	20.44	13.82
Scoliodon	extant	20.44	13.82
Scyliorhinus	extant	20.44	13.82
Sphyrna	extant	20.44	13.82
Squatina	extant	20.44	13.82
Taeniurops	extant	20.44	13.82
Otodus	extinct	20.44	13.82
Carcharhinus	extant	20.44	13.82
Carcharias	extant	20.44	13.82
Dasyatis	extant	20.44	13.82
Galeocerdo	extant	20.44	13.82
Ginglymostoma	extant	20.44	13.82
Hemigaleus	extant	20.44	13.82
Hemipristis	extant	20.44	13.82
Isogomphodon	extant	20.44	13.82
Isurus	extant	20.44	13.82
Negaprion	extant	20.44	13.82
Paragaleus	extant	20.44	13.82
Rhinobatos	extant	20.44	13.82
Rhinoptera	extant	20.44	13.82
Rhynchobatus	extant	20.44	13.82
Scyliorhinus	extant	20.44	13.82
Sphyrna	extant	20.44	13.82
Taeniurops	extant	20.44	13.82
Otodus	extinct	20.44	13.82
Carcharhinus	extant	23.03	15.97
Carcharodon	extant	23.03	15.97
Glyphis	extant	23.03	15.97
Hemipristis	extant	23.03	15.97
Isurus	extant	23.03	15.97
Rhizoprionodon	extant	23.03	15.97
Sphyrna	extant	23.03	15.97
Carcharhinus	extant	23.03	15.97
Glyphis	extant	23.03	15.97
Isurus	extant	23.03	15.97
Alopias	extant	23.03	15.97
Carcharhinus	extant	23.03	15.97
Carcharias	extant	23.03	15.97
Carcharodon	extant	23.03	15.97
Galeocerdo	extant	23.03	15.97
Hemipristis	extant	23.03	15.97
Isurus	extant	23.03	15.97
Negaprion	extant	23.03	15.97
Rhizoprionodon	extant	23.03	15.97
Sphyrna	extant	23.03	15.97
Otodus	extinct	23.03	15.97
Dasyatis	extant	11.63	5.333
Carcharhinus	extant	23.03	15.97
Carcharodon	extant	23.03	15.97
Galeocerdo	extant	23.03	15.97
Hexanchus	extant	23.03	15.97
Isurus	extant	23.03	15.97
Negaprion	extant	23.03	15.97
Odontaspis	extant	23.03	15.97
Squatina	extant	23.03	15.97
Otodus	extinct	15.97	11.63
Otodus	extinct	15.97	11.63
Parotodus	extinct	15.97	11.63
Otodus	extinct	15.97	11.63
Otodus	extinct	15.97	11.63
Odontaspis	extant	23.03	20.44
Carcharhinus	extant	15.97	11.63
Hemipristis	extant	15.97	11.63
Carcharias	extant	23.03	15.97
Carcharodon	extant	23.03	15.97
Galeocerdo	extant	23.03	15.97
Araloselachus	extinct	23.03	15.97
Carcharhinus	extant	23.03	15.97
Centrophorus	extant	23.03	15.97
Mitsukurina	extant	23.03	15.97
Rhinoptera	extant	23.03	15.97
Galeus	extant	23.03	15.97
Notorynchus	extant	23.03	15.97
Carcharhinus	extant	11.63	5.333
Galeocerdo	extant	11.63	5.333
Hemipristis	extant	11.63	5.333
Negaprion	extant	11.63	5.333
Rhinoptera	extant	11.63	5.333
Sphyrna	extant	11.63	5.333
Aetobatus	extant	23.03	15.97
Myliobatis	extant	23.03	15.97
Squatina	extant	23.03	15.97
Etmopterus	extant	15.97	11.63
Isurus	extant	15.97	11.63
Scymnodon	extant	15.97	11.63
Araloselachus	extinct	23.03	11.63
Carcharhinus	extant	23.03	11.63
Carcharias	extant	23.03	11.63
Lamna	extant	23.03	11.63
Notorynchus	extant	23.03	11.63
Odontaspis	extant	23.03	11.63
Aetobatus	extant	15.97	11.63
Araloselachus	extinct	15.97	11.63
Carcharhinus	extant	15.97	11.63
Carcharias	extant	15.97	11.63
Galeocerdo	extant	15.97	11.63
Hemipristis	extant	15.97	11.63
Myliobatis	extant	15.97	11.63
Odontaspis	extant	15.97	11.63
Physogaleus	extinct	15.97	11.63
Rhinobatus	extant	15.97	11.63
Sphyrna	extant	15.97	11.63
Squalus	extant	15.97	11.63
Otodus	extinct	15.97	11.63
Myliobatis	extant	15.97	11.63
Scoliodon	extant	15.97	11.63
Carcharodon	extant	0.129	0.0117
Somniosus	extant	5.333	2.58
Aetomylaeus	extant	11.63	5.333
Carcharhinus	extant	11.63	5.333
Dasyatis	extant	11.63	5.333
Galeocerdo	extant	11.63	5.333
Hemipristis	extant	11.63	5.333
Mobula	extant	11.63	5.333
Negaprion	extant	11.63	5.333
Rhinoptera	extant	11.63	5.333
Sphyrna	extant	11.63	5.333
Carcharhinus	extant	15.97	11.63
Carcharias	extant	15.97	11.63
Chaenogaleus	extant	15.97	11.63
Galeocerdo	extant	15.97	11.63
Hemipristis	extant	15.97	11.63
Hexanchus	extant	15.97	11.63
Hypoprion	extinct	15.97	11.63
Isistius	extant	15.97	11.63
Isogomphodon	extant	15.97	11.63
Isurus	extant	15.97	11.63
Pachyscyllium	extinct	15.97	11.63
Paragaleus	extant	15.97	11.63
Pristiophorus	extant	15.97	11.63
Scyliorhinus	extant	15.97	11.63
Sphyrna	extant	15.97	11.63
Squatina	extant	15.97	11.63
Carcharhinus	extant	11.63	7.246
Carcharias	extant	11.63	7.246
Chaenogaleus	extant	11.63	7.246
Deania	extant	11.63	7.246
Galeocerdo	extant	11.63	7.246
Hemipristis	extant	11.63	7.246
Heptranchias	extant	11.63	7.246
Hexanchus	extant	11.63	7.246
Hypoprion	extinct	11.63	7.246
Isistius	extant	11.63	7.246
Isogomphodon	extant	11.63	7.246
Isurus	extant	11.63	7.246
Megascyliorhinus	extinct	11.63	7.246
Pachyscyllium	extinct	11.63	7.246
Paragaleus	extant	11.63	7.246
Pristiophorus	extant	11.63	7.246
Scyliorhinus	extant	11.63	7.246
