taxon_name	status	max_ma	min_ma
Carcharhinus brachyurus	extant	3.6	2.58
Carcharodon carcharias	extant	3.6	2.58
Galeorhinus galeus	extant	3.6	2.58
Hexanchus griseus	extant	3.6	2.58
Isurus oxyrinchus	extant	3.6	2.58
Beringraja binoculata	extinct	0.774	0.129
Alopias superciliosus	extant	11.63	5.333
Carcharhinus brachyurus	extant	11.63	5.333
Carcharhinus falciformis	extant	11.63	5.333
Carcharhinus plumbeus	extant	11.63	5.333
Dalatias licha	extant	11.63	5.333
Galeorhinus galeus	extant	11.63	5.333
Hemipristis serra	extinct	11.63	5.333
Otodus megalodon	extinct	11.63	5.333
Araloselachus cuspidatus	extinct	23.03	11.63
Carcharodon hastalis	extinct	23.03	11.63
Isurolamna gracilis	extinct	23.03	11.63
Araloselachus cuspidatus	extinct	23.03	11.63
Striatolamia macrota	extinct	23.03	11.63
Araloselachus cuspidatus	extinct	23.03	11.63
Carcharias contortidens	extinct	23.03	11.63
Carcharodon hastalis	extinct	23.03	11.63
Striatolamia macrota	extinct	23.03	11.63
Carcharias contortidens	extinct	23.03	11.63
Carcharodon hastalis	extinct	23.03	11.63
Alopias exigua	extinct	23.03	11.63
Carcharias contortidens	extinct	23.03	11.63
Carcharias contortidens	extinct	23.03	11.63
Carcharias contortidens	extinct	23.03	11.63
Carcharhinus acanthodon	extinct	23.03	11.63
Carcharias contortidens	extinct	23.03	11.63
Notorynchus primigenius	extinct	23.03	11.63
Otodus megalodon	extinct	23.03	11.63
Aetobatus arcuatus	extinct	23.03	11.63
Araloselachus cuspidatus	extinct	23.03	11.63
Carcharhinus acanthodon	extinct	23.03	11.63
Carcharias contortidens	extinct	23.03	11.63
Carcharodon hastalis	extinct	23.03	11.63
Galeocerdo aduncus	extinct	23.03	11.63
Hemipristis serra	extinct	23.03	11.63
Isurolamna gracilis	extinct	23.03	11.63
Isurus desori	extinct	23.03	11.63
Isurus retroflexus	extinct	23.03	11.63
Notorynchus primigenius	extinct	23.03	11.63
Otodus megalodon	extinct	23.03	11.63
Araloselachus cuspidatus	extinct	23.03	11.63
Carcharhinus acanthodon	extinct	23.03	11.63
Notorynchus primigenius	extinct	23.03	11.63
Carcharias contortidens	extinct	23.03	11.63
Araloselachus cuspidatus	extinct	23.03	11.63
Araloselachus cuspidatus	extinct	23.03	11.63
Carcharodon hastalis	extinct	23.03	11.63
Araloselachus cuspidatus	extinct	23.03	11.63
Aetobatus arcuatus	extinct	23.03	11.63
Carcharhinus acanthodon	extinct	23.03	11.63
Carcharias contortidens	extinct	23.03	11.63
Hemipristis serra	extinct	23.03	11.63
Rhinoptera studeri	extinct	23.03	11.63
Carcharhinus acanthodon	extinct	23.03	11.63
Isurus retroflexus	extinct	23.03	11.63
Aetobatus arcuatus	extinct	23.03	11.63
Carcharhinus acanthodon	extinct	23.03	11.63
Carcharias contortidens	extinct	23.03	11.63
Carcharodon hastalis	extinct	23.03	11.63
Galeocerdo aduncus	extinct	23.03	11.63
Hemipristis serra	extinct	23.03	11.63
Isurus desori	extinct	23.03	11.63
Isurus retroflexus	extinct	23.03	11.63
Notorynchus primigenius	extinct	23.03	11.63
Squatina subserrata	extinct	23.03	11.63
Otodus megalodon	extinct	23.03	11.63
Otodus megalodon	extinct	11.63	3.6
Carcharodon carcharias	extant	3.6	1.8
Carcharhinus leucas	extant	11.63	5.333
Alopias vulpinus	extant	20.44	13.82
Carcharhinus acanthodon	extinct	20.44	13.82
Carcharhinus egertoni	extinct	20.44	13.82
Carcharhinus priscus	extinct	20.44	13.82
